m/z	SN	QualityFactor	Resolution	intensity	area
1011.577	2.290	178.8	9431.0	167.5	36.3
1028.478	2.530	265.7	4169.4	187.6	90.0
1045.504	10.628	9290.3	7487.3	801.3	223.9
1104.528	2.171	189.6	7314.1	169.0	52.0
1143.593	3.572	995.4	7627.5	283.1	91.1
1198.681	8.835	6297.5	10073.2	714.2	193.1
1220.617	2.873	201.8	5882.6	233.0	104.8
1228.624	2.040	106.8	10380.6	166.2	45.4
1269.660	4.212	947.0	8430.8	344.1	121.5
1287.656	2.297	205.4	7724.7	188.0	71.8
1292.653	2.093	217.0	8714.3	172.3	58.6
1296.676	10.349	6931.1	9701.0	846.4	269.5
1313.624	2.261	257.2	5498.9	185.7	102.1
1315.670	2.007	88.0	9668.8	164.9	51.6
1334.665	3.425	328.2	9558.6	283.7	95.1
1341.697	3.222	324.6	9146.8	263.4	92.7
1346.675	2.025	78.5	9858.4	165.7	53.1
1359.688	2.598	130.6	11458.7	212.4	62.1
1377.658	3.676	527.3	10653.2	307.5	101.3
1390.766	7.287	8301.8	9868.7	601.0	210.9
1396.730	2.001	100.1	11741.4	165.2	47.3
1399.688	2.164	141.5	4759.5	179.1	125.6
1406.706	11.822	17511.2	10684.3	988.6	331.3
1410.720	2.740	182.7	8743.0	229.0	90.5
1414.732	2.860	373.9	8390.0	238.3	98.2
1428.719	14.034	34730.3	10332.6	1164.1	409.2
1459.702	2.693	216.3	7627.3	224.4	107.5
1473.776	2.288	213.1	12763.4	189.6	59.4
1488.754	2.043	204.2	12706.6	171.8	54.8
1494.744	8.561	4582.7	8690.4	717.7	320.7
1496.788	2.927	102.3	13473.7	246.6	71.6
1498.806	2.677	232.8	11090.2	224.5	79.9
1501.757	3.985	569.4	11706.8	333.0	113.3
1510.726	3.017	149.0	7988.9	251.7	122.8
1515.756	2.239	101.2	12278.2	187.3	60.5
1523.771	2.976	419.0	8124.4	251.1	123.1
1529.747	8.184	7183.2	9183.8	690.9	305.5
1537.769	2.246	158.4	11853.6	188.8	66.8
1554.757	9.898	6368.9	9323.0	824.6	368.9
1562.815	2.069	157.7	9170.7	172.3	76.9
1570.695	9.729	2352.1	6628.5	809.2	514.5
1580.765	5.160	2149.3	10816.9	437.4	176.5
1589.875	2.370	197.2	13820.7	197.0	63.1
1598.828	2.094	287.8	3907.6	174.0	192.0
1609.787	3.303	567.0	7403.6	273.9	164.6
1628.790	13.328	7109.2	8977.6	1101.1	561.5
1648.822	2.764	385.1	11495.4	232.0	95.1
1694.766	2.089	184.1	3513.4	170.5	235.6
1703.902	2.385	207.1	13834.9	194.2	71.5
1714.906	2.850	381.9	11643.8	231.9	102.5
1739.936	3.985	1623.3	13792.2	321.7	124.7
1762.864	3.391	352.1	6616.4	271.3	218.7
1776.884	2.834	218.9	7761.3	226.0	155.2
1790.907	2.460	158.0	11729.3	197.4	92.8
1826.938	2.938	286.5	6591.6	228.3	197.4
1905.995	6.474	4434.4	9957.2	471.2	289.2
1936.056	3.696	1319.3	11516.8	257.5	140.1
1997.924	2.545	276.6	4869.8	162.9	214.7
2010.076	2.488	284.5	10891.2	156.8	95.4
2133.003	2.646	534.4	3763.0	142.0	259.1
2147.189	29.025	37593.3	12832.5	1534.3	847.7
2189.912	3.148	295.9	7496.9	158.0	150.8
2211.094	9.841	6956.9	10878.9	479.2	322.7
2225.119	5.124	1123.3	12539.4	244.3	143.0
2246.179	3.285	783.7	10595.4	154.3	109.2
2283.172	6.511	6395.0	14527.3	292.0	156.2
2354.111	5.907	968.0	8622.4	238.0	220.3
2392.191	2.991	342.9	9788.2	115.0	95.0
2423.125	4.189	1130.2	10081.7	155.6	129.1
2484.298	3.635	536.4	7991.7	123.4	131.7
2497.258	3.678	312.2	8798.1	123.8	121.1
2854.405	5.829	826.8	8926.2	120.7	143.6
2918.324	2.404	199.5	4977.0	45.1	103.0
2932.593	26.256	12317.4	12455.5	498.5	448.6
2991.511	2.188	97.5	6634.2	38.1	65.6
3323.788	2.120	103.0	7541.6	26.0	48.0
3337.798	2.436	127.6	7885.5	29.5	52.2


