m/z	SN	QualityFactor	Resolution	intensity	area
1011.589	36.705	31964.7	7361.7	4141.6	1119.1
1028.505	2.324	207.9	3749.9	261.9	140.1
1030.498	2.137	112.7	4887.5	241.4	99.2
1033.565	2.449	317.3	5399.5	275.7	105.1
1045.516	66.669	22699.9	7173.7	7498.7	2170.3
1067.516	8.098	6946.4	7724.7	907.0	254.3
1088.484	2.152	207.1	6440.6	237.7	84.0
1101.466	2.301	95.4	3773.9	253.0	149.7
1102.004	2.786	114.0	6510.1	305.6	111.0
1163.595	5.726	2409.1	9161.2	631.4	173.7
1198.663	2.448	177.6	3694.2	265.0	184.6
1234.623	3.171	240.1	4222.3	339.8	218.6
1260.608	2.747	307.7	11022.1	295.5	79.0
1274.698	2.396	157.8	8067.6	255.1	93.2
1296.681	43.372	97347.0	10126.5	4587.1	1387.0
1314.667	7.292	6645.1	8734.7	764.0	274.0
1318.662	4.234	965.7	11321.2	442.5	123.8
1338.817	11.198	7338.6	8932.7	1174.8	426.1
1353.643	2.552	138.7	5968.9	264.7	142.8
1410.726	2.326	140.6	7609.8	234.2	105.3
1428.720	2.872	185.7	9923.2	288.5	105.2
1495.788	3.096	533.6	9299.5	296.5	120.9
1529.748	5.416	1354.7	9329.6	507.2	221.2
1554.755	2.513	280.6	7455.8	232.1	127.4
1570.685	26.549	12927.9	9569.2	2423.7	1072.0
1665.987	3.715	313.8	7041.3	321.7	214.1
1707.794	2.623	332.9	7360.9	221.8	150.0
1905.993	13.625	11784.2	10794.4	997.6	564.9
2132.917	3.721	852.9	4130.7	200.4	353.4
2147.195	46.221	32073.7	11887.5	2532.6	1489.2
2163.183	2.263	139.7	10844.0	120.7	79.1
2169.171	3.849	486.1	8361.3	203.1	173.1
2196.850	2.338	390.0	3848.3	115.4	226.6
2203.109	3.413	250.0	8954.9	172.5	138.1
2205.126	2.633	170.4	25222.0	132.8	37.4
2211.102	74.099	43146.9	12720.9	3764.4	2190.2
2225.115	17.303	19475.9	12975.7	864.2	495.3
2233.075	37.648	34182.4	12635.2	1871.3	1107.2
2245.648	2.940	70.2	6748.0	143.5	158.4
2247.083	5.709	699.8	8516.0	277.3	242.0
2249.061	6.129	708.3	24439.7	297.2	93.6
2255.067	3.651	333.1	17827.3	179.6	75.0
2267.026	5.636	512.0	6886.9	270.4	294.8
2269.028	6.157	457.3	16420.4	294.0	134.8
2283.176	23.625	19886.0	11989.7	1114.2	706.2
2299.177	12.932	16067.1	14937.1	604.3	318.4
2305.133	7.669	1162.6	7920.9	354.2	343.1
2321.132	2.986	151.6	6224.3	136.1	169.3
2779.426	5.194	352.3	6759.1	149.5	222.5
2779.947	6.038	1635.4	19674.1	174.5	95.5
2808.331	2.356	89.9	7883.3	65.8	85.4
2895.195	2.147	64.5	3102.8	51.2	182.6
2918.224	3.304	378.0	5241.5	83.4	176.8
2932.590	27.134	23767.6	13017.5	681.9	590.8
2948.595	5.481	1725.4	12937.8	136.1	118.9
2955.561	2.773	167.1	11417.8	68.4	66.5
3323.768	8.627	916.2	9877.6	155.3	216.9
3337.794	15.614	9019.9	12916.2	278.6	304.4


