m/z	SN	QualityFactor	Resolution	intensity	area
1011.609	15.613	12663.6	5840.8	2762.6	940.0
1032.545	2.191	137.1	5526.3	383.1	145.4
1045.545	69.656	37733.9	5684.3	12123.3	4476.5
1067.525	6.299	3609.9	5605.6	1088.3	418.0
1078.481	2.287	97.4	2487.3	391.8	338.4
1101.472	4.029	178.7	2703.9	684.6	562.3
1103.033	2.262	83.7	3746.8	383.7	229.4
1103.492	3.031	55.7	6589.8	515.4	178.4
1118.039	2.481	112.2	2034.5	419.4	473.7
1153.747	2.417	157.0	602.0	325.6	1364.1
1172.186	2.120	479.0	251.6	282.0	2903.3
1189.565	2.078	384.1	261.0	276.2	2790.9
1296.682	63.985	25208.9	7031.9	10345.8	4397.1
1314.677	5.786	4410.9	6589.8	936.0	436.3
1318.672	3.312	353.8	5552.7	534.9	294.7
1338.819	11.773	10293.1	6981.9	1901.3	861.6
1352.629	5.987	2218.0	6432.7	954.2	478.9
1354.635	3.333	240.7	6499.3	532.2	261.8
1465.704	2.385	93.1	1657.2	354.5	777.0
1487.573	2.368	244.0	2748.3	350.4	478.8
1501.753	31.360	44167.9	7998.0	4599.5	2257.1
1517.751	4.808	1192.9	8451.9	690.6	324.4
1523.738	2.312	192.4	7952.4	330.8	163.5
1529.743	15.233	20044.1	7976.1	2171.7	1103.0
1557.668	2.696	232.7	5162.1	376.2	299.7
1570.683	40.758	34860.5	8015.3	5672.8	3030.8
1572.681	16.025	9085.3	8687.9	2220.3	1075.0
1592.662	2.003	128.7	5729.1	273.0	203.8
1637.767	4.724	1687.8	8622.0	627.1	333.3
1666.001	5.292	628.1	5436.5	688.2	597.7
2033.069	6.853	2314.3	6923.8	660.4	623.9
2112.016	4.695	899.9	5546.7	415.1	515.4
2130.132	2.187	382.5	4260.2	188.8	341.0
2132.917	10.415	5787.5	4480.3	891.5	1407.2
2147.196	91.340	65577.5	9028.8	7744.9	6136.0
2163.174	3.077	358.6	6465.0	256.2	279.9
2169.165	5.489	2151.9	7980.5	453.8	405.3
2185.129	3.847	821.1	10759.7	310.6	208.2
2196.027	2.341	253.6	2365.7	171.4	525.3
2197.765	2.414	141.8	9169.8	193.8	151.3
2203.115	13.003	4608.9	8115.4	1033.8	924.0
2206.093	4.340	62.6	6840.4	344.2	363.3
2211.102	97.170	53186.5	9156.7	7698.7	6245.8
2225.111	27.100	43591.6	9730.2	2113.4	1626.6
2233.077	35.454	35452.7	9218.1	2754.9	2244.3
2245.945	3.639	94.3	3170.6	249.2	644.9
2248.063	8.404	965.5	6382.5	641.6	747.8
2259.055	2.678	110.5	6120.2	203.2	247.0
2267.018	10.942	1650.3	5221.9	823.1	1184.1
2269.018	9.965	2968.1	16668.2	766.3	350.2
2283.167	41.418	18659.0	7818.1	3087.9	3024.0
2288.997	2.805	208.1	6713.2	207.1	233.3
2291.013	3.671	410.7	23231.6	273.9	91.0
2299.169	12.695	4418.9	8339.5	932.2	855.8
2305.120	10.139	1945.0	5865.3	739.5	964.6
2319.102	2.095	68.1	4388.8	150.6	262.7
2323.037	3.728	455.6	4240.3	264.1	490.4
2707.399	4.248	780.9	9176.6	204.8	219.5
2779.448	5.431	262.0	4669.7	244.0	528.2
2780.972	4.543	182.5	27267.9	209.7	81.3
2807.306	2.575	191.9	6221.0	113.5	186.4
2896.090	3.338	143.6	3065.5	130.1	453.2
2918.222	6.245	502.5	4758.0	242.8	559.9
2932.590	52.490	28825.6	9668.4	2036.0	2368.5
2948.571	6.537	728.5	7678.0	250.0	363.7
2954.556	4.312	545.7	9110.2	164.1	203.0
2988.517	4.964	614.3	9421.5	182.7	224.7
3309.781	3.192	198.1	7065.8	84.1	162.5
3323.770	12.328	2413.0	7574.6	322.0	588.6
3337.798	20.498	16527.3	10209.2	532.1	737.9
3353.802	2.058	73.9	10122.1	52.8	73.8


