m/z	SN	QualityFactor	Resolution	intensity	area
1028.509	2.027	102.5	3249.7	257.4	158.8
1030.051	3.865	701.1	8373.6	493.3	118.7
1036.063	10.707	1379.6	4910.8	1358.2	560.7
1045.518	10.380	6604.0	7954.0	1339.7	351.4
1048.035	2.733	105.1	6114.7	347.5	116.7
1067.523	2.335	79.1	3852.3	295.9	170.7
1068.022	3.746	202.7	4201.1	474.6	238.9
1070.017	3.202	38.5	10794.9	410.8	84.0
1071.623	74.029	11206.8	2272.3	9370.3	8914.0
1113.547	5.855	533.3	1500.1	738.4	1117.2
1163.592	2.596	109.6	4275.3	326.0	185.9
1179.586	6.084	4998.9	9385.2	761.9	205.9
1198.681	13.022	8980.9	9622.8	1645.0	456.3
1225.142	29.842	20410.2	7718.9	3700.6	1301.5
1234.654	3.293	384.7	10565.1	407.9	108.7
1267.122	3.325	187.2	4483.6	410.9	259.0
1267.650	3.755	704.2	7661.8	467.2	181.0
1274.710	3.392	326.4	8565.9	418.4	141.4
1282.125	4.268	240.5	1108.8	494.9	1286.6
1288.625	2.809	170.0	4863.1	346.9	209.7
1296.679	23.864	36346.4	9669.5	2948.8	908.7
1314.653	2.043	106.7	5116.3	251.5	148.3
1320.631	3.239	200.5	3775.0	397.4	319.8
1341.691	2.196	78.6	6482.5	268.2	129.1
1365.644	5.730	1341.4	8319.8	696.4	271.7
1390.760	3.100	507.9	8862.3	377.8	142.9
1393.728	2.164	176.3	7963.1	262.1	110.9
1406.708	6.118	4713.0	12381.7	734.1	216.4
1410.723	2.885	201.9	8199.3	345.7	144.9
1428.717	8.622	7430.0	8867.5	1033.3	414.8
1434.747	2.766	224.2	7531.6	327.9	158.1
1436.179	4.623	455.5	11593.0	548.6	166.8
1450.688	3.493	308.5	4926.8	411.4	304.8
1459.713	2.353	192.4	8996.4	279.7	115.1
1476.742	2.209	83.7	8308.5	257.5	119.1
1493.740	9.909	4977.5	11635.2	1175.9	408.3
1495.792	3.941	289.0	10162.9	464.0	173.9
1523.771	2.090	164.7	11246.8	239.0	88.1
1529.742	4.492	424.0	6395.3	513.4	320.9
1533.781	2.062	203.1	6519.5	235.2	143.1
1554.763	3.234	564.6	9995.6	372.3	152.5
1570.690	10.371	7680.4	9555.0	1175.8	521.0
1628.808	3.850	515.0	7577.6	421.5	253.8
1639.817	2.695	520.8	8384.5	291.9	162.7
1650.792	2.316	262.5	8018.1	250.2	145.6
1657.799	16.002	16365.9	10988.0	1717.0	747.5
1672.815	3.653	878.8	10352.8	386.4	178.6
1687.965	6.352	2941.5	10352.0	676.0	323.2
1707.780	37.181	42371.9	11452.7	3867.6	1702.8
1714.899	2.173	123.5	8787.0	225.5	128.0
1739.931	2.516	172.4	6940.3	257.9	190.3
1813.905	3.626	465.1	13151.8	364.7	158.2
1838.917	2.974	646.8	14414.7	285.5	117.6
1905.996	10.175	8718.6	10349.8	905.6	537.3
2096.960	9.573	8308.9	11766.0	674.0	393.4
2147.193	7.765	15791.7	15167.7	520.0	252.8
2211.100	25.399	34090.9	12566.0	1543.1	900.0
2225.115	5.119	1484.1	11396.6	303.0	196.4
2233.078	12.677	7748.1	11755.2	741.0	469.0
2247.099	2.930	187.1	8768.5	168.5	143.0
2283.168	9.182	2304.9	11299.0	501.5	334.5
2305.140	2.433	226.6	6824.8	129.8	146.1
2383.948	2.864	222.8	6644.8	139.0	168.0
2932.591	5.986	895.0	11091.2	158.1	158.0


