m/z	SN	QualityFactor	Resolution	intensity	area
1028.473	3.869	1168.7	4539.8	588.7	259.6
1045.504	11.588	9692.6	6660.4	1801.2	567.0
1095.514	2.081	472.1	7250.4	338.5	105.3
1105.542	3.222	1270.8	6453.7	521.9	185.6
1143.599	2.804	1205.9	5320.4	470.6	213.4
1156.594	2.446	583.6	6073.6	412.4	166.6
1198.674	8.494	3046.9	7249.0	1462.4	526.5
1203.597	2.367	800.7	6336.4	407.3	169.7
1240.649	3.163	237.3	8765.4	547.9	179.0
1267.651	5.556	4623.5	7104.5	967.0	390.0
1274.677	3.076	823.0	8193.6	536.8	193.4
1296.674	13.990	7770.4	8603.5	2453.8	871.1
1303.632	2.776	428.1	7965.0	489.6	182.9
1314.660	2.950	347.7	5805.4	519.1	273.6
1325.717	3.367	572.8	7892.9	593.2	234.9
1335.703	3.755	409.1	8972.6	663.1	237.2
1341.696	3.917	689.3	8718.3	689.3	253.6
1359.696	2.829	129.1	9989.8	507.1	164.7
1377.657	3.870	786.8	6227.8	686.9	364.6
1383.710	4.720	282.1	6432.0	835.7	427.7
1390.747	4.066	823.7	6829.9	725.5	352.1
1395.699	2.344	145.1	6559.1	418.3	213.3
1399.675	2.725	172.8	3899.4	485.4	416.7
1406.706	4.969	1098.3	10398.8	896.9	306.1
1410.723	3.816	245.9	10934.8	689.7	217.7
1414.721	6.035	2021.2	9802.5	1079.4	383.9
1418.731	2.016	105.3	10638.6	366.9	117.7
1428.708	28.410	40244.0	8686.2	5111.7	2107.0
1441.709	2.316	151.8	6037.0	416.0	244.1
1459.702	9.579	6252.6	7555.0	1740.7	853.6
1465.704	4.790	1820.7	7616.3	864.1	420.8
1470.791	2.215	267.1	7501.3	401.4	195.0
1477.749	2.455	140.6	7632.2	446.4	219.8
1488.765	2.363	180.9	7784.6	429.7	209.5
1494.736	16.609	3961.3	7690.5	3014.5	1495.7
1495.809	8.561	138.4	13122.8	1576.6	463.3
1496.781	4.373	309.4	8532.6	791.6	355.7
1499.793	2.181	114.3	5784.9	396.7	261.0
1501.746	6.076	2185.3	8028.3	1106.2	534.6
1505.761	2.038	100.7	7069.1	369.2	200.1
1510.729	6.258	3705.3	7731.6	1132.6	579.8
1517.749	2.509	106.5	8903.8	454.0	197.2
1523.775	3.621	755.3	10851.5	665.6	251.0
1529.736	12.481	13635.1	9061.0	2257.5	1008.3
1533.739	2.122	146.7	4797.5	383.4	316.2
1546.791	2.776	258.1	10792.0	507.2	194.9
1552.701	5.551	757.1	5445.1	1004.5	763.6
1554.753	4.522	521.1	7385.4	820.8	457.0
1562.795	3.324	553.8	8189.9	600.8	304.7
1566.776	2.372	39.9	9563.9	431.1	185.2
1570.698	12.868	4451.3	6299.6	2327.1	1563.9
1580.767	5.967	4317.9	10449.4	1098.4	457.8
1585.804	4.040	391.2	4445.5	730.3	707.6
1598.835	2.208	257.1	3521.9	397.9	487.2
1609.786	3.945	746.5	8073.7	708.8	393.1
1612.898	2.938	243.5	4955.5	527.4	465.6
1614.361	2.012	260.7	6141.0	361.1	278.3
1628.800	11.157	8905.6	8297.7	2015.4	1120.7
1650.814	5.234	1567.6	8764.9	932.2	496.6
1655.817	2.213	127.3	5496.0	394.2	331.0
1694.740	3.357	224.6	4096.2	592.2	704.5
1714.899	4.111	920.1	12292.0	731.5	308.1
1720.894	2.825	175.5	11501.5	502.3	218.2
1739.915	2.249	175.0	7284.8	389.2	272.7
1751.904	2.141	221.6	4024.9	369.2	477.4
1762.854	3.130	215.4	7480.5	539.8	380.6
1776.875	4.438	1047.6	7640.3	754.0	529.7
1807.915	2.084	102.6	15271.9	348.0	128.6
1836.835	3.176	244.1	4947.3	521.7	605.1
1905.992	6.384	7715.1	9040.7	973.2	660.8
1928.978	2.664	634.2	10865.9	393.4	224.5
1936.031	2.326	545.8	9132.5	338.1	227.7
1961.972	2.224	363.8	8586.1	311.4	228.2
1989.950	2.018	165.8	4668.4	269.3	365.4
1997.885	3.067	362.4	5600.8	406.2	464.0
2010.063	2.594	311.2	10833.1	339.6	200.3
2042.988	2.380	302.4	5216.4	291.7	366.6
2104.064	2.392	473.6	8711.4	268.8	213.1
2147.191	23.265	114912.7	11896.1	2440.6	1463.0
2189.915	2.617	320.2	5726.4	254.7	318.7
2211.095	11.074	15531.8	10863.1	1040.0	707.1
2225.117	3.867	448.1	12336.3	356.3	211.3
2283.157	5.034	2440.9	9161.6	417.3	345.8
2354.136	2.555	403.7	6150.3	188.3	243.7
2391.197	5.900	4332.1	9129.2	410.9	366.8
2423.096	11.964	14024.1	10858.2	804.9	618.1
2497.247	5.768	1855.9	8425.3	335.8	345.7
2597.382	2.371	212.7	7684.3	113.7	146.2
2854.402	4.541	868.5	10259.7	139.9	144.5
2897.297	2.285	290.0	5751.8	64.4	131.8
2918.258	3.479	339.0	5467.4	96.3	199.6
2932.594	35.978	22042.7	11217.5	991.3	995.0
2948.567	2.866	182.3	8901.5	76.9	96.2
2991.494	5.752	888.6	9683.3	144.0	170.7
3323.765	3.016	296.9	7762.1	48.2	86.2
3337.778	3.225	190.4	7913.4	50.7	88.9


