m/z	SN	QualityFactor	Resolution	intensity	area
1011.599	17.965	6953.9	7106.3	1769.3	492.0
1030.071	2.934	515.9	7365.6	288.6	79.5
1045.525	18.642	9009.7	7182.5	1841.9	537.0
1048.047	3.214	110.0	4436.6	314.7	145.9
1067.520	2.809	105.7	2564.4	273.9	224.1
1069.049	2.012	85.3	4492.3	196.3	93.7
1071.633	18.195	8394.8	2571.3	1772.5	1515.0
1083.005	2.273	66.0	4095.3	221.2	116.6
1125.380	2.042	225.7	1094.3	192.3	402.9
1127.568	2.139	375.9	1661.7	206.5	295.1
1163.571	2.350	135.7	2418.1	225.2	230.9
1225.140	6.208	799.4	5943.2	586.7	263.4
1282.227	2.480	308.3	1185.4	220.3	540.6
1296.679	23.259	10796.3	8874.2	2167.6	737.1
1314.657	2.962	152.2	5351.3	273.3	154.2
1318.654	2.390	139.3	6770.6	220.6	99.2
1338.819	7.627	2873.3	7279.3	702.5	304.1
1436.190	3.027	195.0	7345.2	265.9	129.1
1494.772	3.122	149.4	9612.9	267.5	106.3
1529.755	2.294	156.3	6571.1	193.2	117.7
1570.689	9.330	2522.6	7362.3	770.5	441.3
1625.907	2.619	229.2	8163.4	209.2	117.1
1666.000	4.519	1744.5	12291.1	361.3	145.5
1707.797	2.277	245.2	7744.8	173.4	112.0
1905.984	5.077	2054.3	9463.9	331.8	214.2
2132.949	2.629	508.8	3472.9	130.6	262.4
2147.192	24.804	25142.2	10528.5	1238.8	835.0
2169.157	2.467	115.8	10017.7	119.3	84.6
2211.101	29.004	20024.4	11353.4	1343.7	874.0
2225.109	6.620	3011.5	10462.3	304.0	214.3
2233.073	24.799	24971.2	13134.6	1129.2	643.8
2248.065	3.746	187.3	7641.9	167.8	163.2
2255.042	2.600	219.8	14129.7	115.2	60.8
2268.017	3.036	254.4	5774.3	132.5	172.3
2271.016	2.088	73.2	22287.5	96.2	33.4
2283.164	10.696	7768.0	10268.4	459.7	343.2
2299.161	4.125	491.3	11668.3	174.9	115.3
2305.139	7.440	2093.9	11441.8	319.1	213.1
2779.465	2.327	136.3	4399.0	60.3	147.6
2896.094	2.584	108.0	5553.7	62.8	126.0
2918.238	2.895	281.0	4724.5	69.0	159.6
2932.591	19.942	13863.3	11629.3	471.2	454.8
2948.590	3.373	200.7	10292.9	79.0	85.9
3323.785	5.421	509.7	9358.5	94.8	140.4
3337.797	7.672	1167.8	10681.4	132.8	173.8


