m/z	SN	QualityFactor	Resolution	intensity	area
1011.568	3.137	730.9	9189.7	247.1	53.9
1045.495	7.468	5216.1	11053.4	592.7	113.7
1155.614	2.394	531.5	7947.4	207.6	66.0
1198.678	21.424	20249.3	10904.8	1890.6	471.2
1203.600	2.185	516.4	7788.1	192.6	65.6
1217.660	2.207	264.3	8408.3	197.6	64.2
1220.621	4.090	1167.7	8756.9	364.7	113.8
1234.644	3.316	454.5	9480.5	296.2	87.0
1243.655	2.228	156.3	9474.6	199.5	60.0
1269.655	2.621	172.2	10514.7	239.2	68.2
1274.690	3.231	709.8	9360.2	297.1	92.9
1287.673	3.060	390.8	14184.0	289.6	63.5
1292.659	3.439	626.4	10809.8	319.5	90.5
1296.677	14.901	5916.5	11874.3	1357.3	356.9
1303.667	2.611	451.5	11183.7	238.7	66.5
1313.639	2.559	189.9	5306.6	234.2	133.4
1316.683	2.228	199.2	9744.4	204.8	66.0
1325.730	4.579	979.4	10750.9	424.2	126.1
1334.672	3.599	567.4	8204.1	334.4	128.8
1341.708	5.091	1380.8	7918.8	468.9	189.8
1347.712	2.302	142.6	8963.9	211.8	73.6
1359.695	2.917	147.5	12425.2	270.8	73.7
1377.651	4.068	768.0	7273.6	377.9	173.5
1384.704	2.661	134.9	8071.9	250.3	104.4
1390.764	7.455	3209.4	11080.5	699.2	219.7
1399.717	3.041	465.5	8195.5	288.8	118.7
1406.708	23.765	25110.9	12721.3	2266.1	639.7
1410.726	4.229	468.1	10560.8	404.8	133.1
1413.781	3.062	107.6	12114.9	293.3	82.4
1418.731	2.820	141.8	11956.1	268.7	80.7
1428.719	22.972	10132.5	12507.0	2176.0	645.3
1433.718	2.594	148.0	9057.7	248.8	97.4
1441.727	2.952	194.9	10044.9	282.5	103.7
1460.724	2.365	130.9	10043.9	226.5	81.9
1473.772	2.522	178.5	13200.7	246.3	73.2
1481.785	2.131	134.5	5565.4	204.6	136.7
1485.739	3.360	248.0	12743.8	322.4	100.4
1494.739	11.073	4128.3	9796.6	1066.5	424.5
1496.797	4.768	472.0	13235.0	469.3	135.9
1501.753	4.567	620.5	8581.2	444.5	201.1
1505.784	3.166	169.6	12268.3	304.1	96.3
1510.727	3.725	1126.5	11279.0	358.3	127.5
1515.770	2.692	187.2	12846.3	266.9	83.3
1523.775	3.316	505.8	12991.8	328.1	104.7
1529.742	18.665	20950.4	11961.6	1796.8	610.9
1533.785	2.757	225.6	8659.5	267.8	124.1
1554.759	19.615	32795.3	12058.2	1901.3	669.3
1561.808	2.016	90.9	11447.4	194.7	73.0
1566.791	3.770	139.7	7883.7	363.6	192.7
1570.694	13.876	6453.7	8676.7	1339.6	651.1
1575.804	2.184	126.2	14047.7	210.6	65.3
1580.775	4.552	971.1	12542.7	443.7	154.0
1605.836	2.126	192.4	13036.0	204.3	69.7
1609.790	3.359	654.8	10563.6	322.2	136.0
1612.943	3.020	253.8	13524.0	291.6	97.0
1616.840	2.392	185.7	11464.6	231.6	92.0
1628.808	9.277	6824.8	9467.3	896.3	436.1
1630.867	3.076	342.0	11545.5	297.1	114.9
1634.817	2.523	188.6	11291.4	241.3	97.1
1645.834	2.464	103.0	13061.8	236.9	98.0
1647.823	3.573	999.0	13211.5	342.6	124.9
1650.817	3.179	189.5	10006.0	303.0	140.6
1662.829	2.120	152.6	6540.1	201.7	144.9
1694.764	2.966	231.3	4934.2	280.6	279.7
1701.899	3.178	600.4	15021.2	301.6	102.7
1714.915	4.287	654.3	19014.0	403.6	114.1
1728.911	2.254	133.5	13464.3	210.8	80.3
1739.936	5.536	2309.2	14262.8	523.6	197.5
1750.972	2.322	178.7	5509.4	216.4	202.0
1753.907	2.176	194.9	11715.7	201.7	89.3
1762.861	3.470	241.2	8270.5	321.1	206.3
1776.886	5.045	1463.4	13820.2	469.8	194.2
1790.910	3.334	644.7	13471.2	312.5	130.9
1805.942	2.426	189.8	17457.3	225.8	75.8
1816.889	2.003	135.1	10585.3	180.9	95.9
1824.936	2.425	118.1	10076.7	216.9	122.0
1842.940	2.367	256.4	7935.9	209.5	153.5
1850.116	2.438	294.5	10605.0	214.8	118.1
1905.995	8.319	5545.6	10655.1	696.2	397.5
1936.060	5.245	3834.6	13948.3	418.4	191.8
1950.054	2.393	404.7	10055.2	187.1	116.2
1954.045	2.404	299.8	14190.3	186.9	84.3
1997.935	2.081	239.9	5866.6	151.7	166.5
2086.078	2.428	176.7	15552.9	155.6	69.4
2101.118	2.637	187.0	13304.4	167.6	87.0
2147.191	12.880	14593.6	16208.0	754.8	341.1
2211.099	10.186	10473.0	14507.3	530.3	268.0
2225.112	3.858	1840.3	16486.0	200.4	92.1
2246.187	4.812	2896.3	16189.1	239.9	114.2
2253.108	2.548	260.9	12568.8	125.6	74.4
2283.163	6.579	7981.5	17496.3	304.6	138.3
2354.101	5.857	1127.5	10912.1	237.6	173.3
2381.175	2.389	292.6	14207.7	92.7	53.1
2391.200	4.291	1744.4	16268.8	166.5	85.5
2423.100	5.518	1733.5	12241.9	203.3	137.8
2484.313	2.508	281.4	6364.4	81.9	110.1
2497.249	6.900	2677.9	11635.1	220.1	164.3
2854.405	6.586	1243.3	12718.7	115.7	96.5
2932.592	16.037	44095.1	17483.7	251.7	163.4
3337.778	2.476	84.2	9451.9	22.8	33.6
3725.837	2.326	42.0	9786.6	14.7	24.2


