m/z	SN	QualityFactor	Resolution	intensity	area
1011.581	16.336	12732.2	7286.5	1533.5	415.0
1045.525	32.393	15427.8	6522.3	2995.2	954.9
1067.515	5.078	842.4	5578.7	468.0	178.9
1095.988	2.261	108.7	5198.5	205.1	87.9
1101.458	3.054	65.8	2391.1	275.7	257.3
1103.485	2.354	108.4	4217.0	213.2	113.4
1117.994	2.268	58.4	2880.4	204.5	162.5
1154.615	2.197	144.9	518.5	153.4	746.7
1172.481	2.148	341.1	251.8	152.3	1568.3
1189.490	2.134	263.9	255.4	149.9	1557.9
1296.681	52.492	69493.5	8907.6	4498.7	1522.8
1314.661	4.172	678.4	8532.9	357.2	127.6
1318.660	3.522	693.2	10121.7	299.2	92.5
1338.818	8.198	2903.4	7183.6	699.2	306.5
1352.603	5.503	1046.7	7076.0	464.3	209.1
1354.608	2.313	136.8	6639.8	194.8	93.6
1466.796	3.997	876.6	10781.0	318.5	111.4
1467.293	2.883	292.2	6879.6	229.7	123.0
1501.746	2.330	194.3	8631.0	180.2	81.6
1570.685	16.362	19019.1	9197.5	1206.8	558.6
1572.669	3.959	423.0	12641.2	294.2	97.8
1665.996	2.428	278.0	2875.5	169.1	276.0
2112.001	2.213	222.1	5058.2	104.7	142.9
2132.912	3.958	762.2	3881.0	183.8	327.9
2147.198	44.381	45322.7	11845.4	2077.1	1232.4
2162.166	2.160	171.4	5469.5	97.6	125.7
2169.184	3.343	328.8	7617.8	151.0	140.5
2185.170	2.327	97.9	10226.2	102.9	73.1
2203.115	6.145	1013.6	10648.7	265.8	181.1
2206.114	2.833	49.3	13583.2	122.9	65.8
2211.099	35.683	32297.8	11943.5	1551.7	956.6
2225.114	11.370	25381.2	13371.2	481.7	270.4
2233.082	20.160	40119.0	13956.0	852.8	465.3
2248.072	3.896	271.5	6886.1	161.2	173.5
2267.023	7.909	1585.4	10161.1	320.8	238.3
2270.022	2.376	184.6	7746.7	96.5	93.3
2283.173	13.698	9371.7	12664.9	544.4	331.5
2288.993	2.669	158.2	8202.5	105.3	97.9
2299.165	5.245	958.5	9898.6	205.6	159.4
2305.096	3.708	337.7	4953.6	143.8	221.3
2323.951	2.257	74.6	6781.9	86.1	98.4
2778.966	2.804	77.2	14849.3	70.2	50.4
2779.449	2.305	98.9	7167.6	57.2	80.1
2918.260	3.486	241.8	7154.8	75.8	124.2
2932.590	31.902	19256.4	13214.6	699.3	591.0
2948.584	4.925	315.8	10223.1	105.6	115.5
2954.575	2.968	84.7	14663.5	63.6	48.5
3323.785	4.675	268.2	8920.8	75.1	116.5
3337.819	6.551	982.0	11120.8	103.7	130.1


