m/z	SN	QualityFactor	Resolution	intensity	area
1011.580	3.389	915.6	8694.7	201.0	46.7
1028.486	3.605	1160.2	6050.9	213.6	72.7
1045.510	13.235	7698.1	10535.0	800.1	161.6
1095.528	3.059	756.8	10872.2	189.6	40.7
1105.546	2.880	336.7	11233.1	182.8	38.8
1114.626	2.105	227.3	8290.8	131.7	37.8
1143.604	5.189	5351.3	10618.8	326.4	76.9
1156.607	2.550	244.9	5961.8	162.7	65.9
1171.599	2.096	209.2	5456.7	134.2	61.4
1185.628	2.982	509.9	10093.2	194.2	50.4
1188.602	2.058	279.6	8224.3	132.9	41.9
1198.681	14.743	11088.4	10511.6	972.4	250.5
1203.602	3.123	266.8	9775.6	205.3	55.6
1217.661	3.120	668.3	7716.4	202.2	71.4
1220.631	3.326	390.4	11561.2	215.6	51.8
1228.652	2.875	345.6	11482.1	191.4	47.3
1234.629	3.094	569.3	9866.9	201.4	57.5
1251.675	2.649	334.2	10122.3	175.0	49.7
1268.679	3.322	786.3	9920.4	221.8	66.1
1274.691	3.224	652.7	11162.7	210.6	56.4
1287.671	2.263	174.1	11573.3	147.7	38.8
1292.655	2.502	188.2	12027.2	163.5	42.1
1296.674	16.033	17776.3	12061.8	1081.5	276.2
1300.673	2.637	636.9	10423.0	172.3	50.2
1313.649	2.982	160.0	7838.3	195.3	80.3
1325.706	2.461	244.4	9509.7	161.8	54.3
1334.668	4.048	1054.6	9842.9	265.7	88.2
1336.745	2.498	132.1	12448.0	164.5	43.0
1341.701	3.672	512.3	7836.7	243.5	99.8
1364.669	2.236	112.6	10681.8	149.1	45.4
1377.661	4.070	1136.1	7872.3	269.1	115.8
1384.718	2.671	181.9	7015.8	177.0	82.8
1390.766	7.454	4619.6	10753.3	499.8	160.8
1399.694	2.565	269.7	5426.2	171.0	105.6
1406.710	14.053	7216.6	13171.1	937.6	256.2
1410.731	2.957	505.9	11660.1	201.6	61.0
1414.720	3.695	477.4	8947.6	249.6	96.1
1428.720	17.030	9809.7	12553.3	1144.8	340.1
1442.739	2.308	155.1	7571.3	154.9	73.6
1459.712	3.513	621.4	9692.1	239.7	92.4
1465.727	2.003	71.2	9175.4	136.0	55.0
1473.776	2.156	153.9	14192.4	150.0	41.6
1494.748	10.374	2530.0	10728.5	707.2	263.7
1497.805	2.500	174.7	8997.7	168.0	71.6
1501.781	3.117	259.9	10575.8	212.8	79.0
1510.739	3.003	766.6	10198.8	202.5	79.2
1517.764	2.148	156.5	12401.6	146.5	48.5
1523.783	3.578	470.4	13616.0	247.0	75.8
1529.744	8.695	7356.6	12262.8	585.0	197.1
1554.772	7.705	4363.2	9215.9	517.5	236.6
1567.834	2.090	42.8	7301.4	140.7	81.9
1570.699	10.342	2879.9	8461.9	695.5	344.7
1580.783	4.782	4343.2	11125.0	321.8	127.7
1609.783	3.905	1911.3	11280.5	265.5	106.7
1612.947	4.009	1173.7	12874.1	270.1	93.9
1628.808	6.324	1723.5	8693.9	426.2	225.7
1632.845	2.169	134.0	10094.5	144.9	65.2
1645.862	2.504	91.1	13031.0	166.6	58.5
1648.826	4.099	1082.6	13011.2	274.3	99.3
1651.810	2.138	109.9	9443.3	141.5	69.4
1703.899	2.478	140.7	16577.0	168.4	51.8
1714.918	3.237	443.4	18471.0	210.7	60.2
1729.903	2.077	276.4	15215.3	134.8	46.8
1739.940	5.011	3025.9	13651.1	325.1	128.5
1762.874	3.402	535.3	9669.4	217.4	120.6
1776.904	3.158	519.3	8488.6	201.2	129.4
1817.898	2.037	90.3	13406.9	128.1	53.0
1826.941	2.049	157.7	6701.4	127.8	107.3
1833.910	2.122	132.5	14130.8	132.7	54.2
1906.001	7.183	6071.0	11632.1	425.7	223.5
1928.994	2.980	966.7	13406.3	170.6	79.8
1936.059	6.201	7140.6	14839.1	351.6	154.0
1997.946	2.228	401.0	3925.5	115.8	189.4
2147.192	20.148	30922.6	16150.4	869.8	394.7
2211.094	9.095	5791.2	13181.0	357.3	198.1
2225.127	2.466	255.2	10434.9	94.5	66.1
2233.104	2.428	251.5	15375.0	91.9	44.8
2246.181	3.468	704.0	13542.1	131.7	72.1
2253.114	3.855	1447.9	17043.0	143.5	64.5
2283.176	5.472	3157.8	14487.7	196.9	103.0
2354.126	4.446	488.9	7072.1	141.4	159.1
2391.201	4.001	429.5	11315.8	122.1	87.7
2423.116	5.159	720.3	10460.3	152.3	120.1
2484.317	4.462	503.5	9148.5	121.3	114.0
2497.270	3.171	345.8	6068.4	84.6	119.7
2597.454	2.579	215.1	7934.9	59.6	68.1
2854.417	5.867	3827.7	14841.6	98.2	71.0
2918.305	3.410	543.4	5868.4	51.7	98.6
2932.594	32.563	17478.3	14841.8	489.4	368.6
2948.575	2.766	228.9	13949.1	41.1	33.2
2991.526	6.136	2940.1	14678.7	87.6	68.9
3337.818	2.927	141.3	11265.0	29.4	36.2


