m/z	SN	QualityFactor	Resolution	intensity	area
1011.589	10.889	6812.2	9149.5	353.3	76.3
1045.521	32.880	24260.7	11276.4	1065.8	203.6
1296.681	27.311	7804.7	12779.2	879.4	213.2
1318.675	2.874	346.7	8441.7	90.0	33.3
1338.804	2.506	106.2	5277.0	78.0	46.0
1352.610	2.557	35.3	11853.7	79.3	21.2
1570.685	15.235	11205.9	13223.6	440.0	142.7
1906.000	2.882	363.3	15553.8	73.5	29.1
2132.904	3.766	747.9	5120.3	78.1	108.6
2147.196	25.774	29873.1	14970.5	538.7	254.8
2169.171	3.305	228.8	10117.3	66.6	46.3
2204.108	2.061	55.9	9411.6	40.1	30.6
2211.100	9.994	6156.6	14676.1	198.0	98.2
2225.117	2.552	196.7	15060.1	49.2	24.6
2233.081	11.931	4386.2	14390.6	229.3	118.6
2247.091	3.089	170.9	9104.2	58.2	47.7
2283.148	2.534	140.0	5150.9	46.5	68.2
2305.101	2.206	171.7	3759.8	39.6	80.4
2918.313	2.281	126.3	4381.8	24.7	63.6
2932.590	18.715	5463.5	13910.6	205.9	165.6
2948.583	3.019	113.4	10850.4	33.0	34.0
2954.597	3.022	63.8	22916.0	32.9	16.1


