m/z	SN	QualityFactor	Resolution	intensity	area
1011.585	8.153	1943.3	7960.9	393.1	96.6
1045.513	57.065	44879.9	9551.1	2748.6	602.9
1067.505	4.702	505.4	6153.7	224.2	77.5
1101.456	2.750	183.8	4755.8	129.7	60.9
1101.985	2.374	117.3	5090.7	111.9	49.4
1296.682	45.459	48243.0	12230.3	2077.4	531.2
1318.661	5.145	2711.4	10674.6	234.8	70.1
1338.815	3.477	373.0	8102.9	159.5	61.4
1352.599	4.350	255.6	7484.3	197.6	84.0
1466.792	4.142	290.5	8226.5	179.7	79.9
1467.296	3.684	315.8	7160.4	160.8	83.0
1529.745	2.060	105.1	8112.5	86.7	42.6
1570.682	85.817	65730.9	11495.7	3553.3	1307.2
1592.661	9.956	9143.1	11566.5	410.4	153.7
1598.681	3.150	273.9	7980.1	129.4	70.9
1626.602	3.911	355.5	11674.8	158.5	61.2
2132.926	4.118	452.2	4805.4	116.7	172.7
2147.197	59.000	75564.4	14979.0	1682.3	811.9
2162.180	2.661	76.9	12917.8	74.0	40.3
2169.176	5.995	1984.2	13714.2	168.0	86.5
2185.146	2.826	163.5	8876.2	76.3	61.6
2203.109	10.645	3339.2	13583.4	283.2	152.3
2206.137	3.572	201.3	10326.9	95.1	66.9
2211.102	23.905	32494.4	14745.6	636.6	318.3
2225.106	9.974	5849.1	15780.0	260.7	125.5
2233.081	16.232	30151.6	16549.6	420.5	193.5
2248.077	4.368	541.5	16985.6	113.2	50.9
2259.058	2.677	139.6	9097.7	67.8	55.9
2262.037	2.401	104.2	11172.1	60.8	40.8
2267.022	5.228	484.2	13601.5	133.6	74.5
2283.156	6.060	731.3	10286.6	151.3	112.7
2304.077	2.549	128.2	5617.4	62.2	84.1
2918.268	3.050	215.4	6375.5	44.4	81.8
2932.589	25.874	16264.6	14999.1	378.1	279.7
2948.585	6.069	1179.6	12810.2	88.4	78.0
2954.577	4.164	437.8	19238.7	60.2	35.4
2970.557	2.892	60.1	14300.1	41.0	32.3
2988.515	2.052	37.6	8555.4	28.9	38.4
3323.768	3.038	176.8	11510.9	33.6	40.4
3337.801	3.751	176.6	11179.0	41.1	51.4


