m/z	SN	QualityFactor	Resolution	intensity	area
1011.585	12.193	5369.4	9116.4	665.7	144.5
1045.515	77.642	264146.5	10233.1	4235.3	871.5
1067.502	5.913	558.6	8685.8	319.4	80.4
1084.008	2.107	76.2	4367.9	112.3	55.6
1101.446	6.202	158.1	6625.5	327.8	111.1
1117.980	2.134	41.9	2921.5	112.6	87.8
1135.395	2.134	38.3	3388.4	112.4	84.0
1296.681	40.882	22726.5	12427.5	2091.4	527.3
1318.663	3.567	1023.5	10557.0	184.9	55.0
1338.825	4.512	462.9	10594.6	227.9	67.2
1352.603	4.180	229.3	7658.3	210.9	88.3
1467.312	4.813	347.9	7306.0	234.7	118.8
1570.684	38.154	141820.7	12743.4	1797.6	610.4
1592.667	2.581	259.5	7331.6	118.0	69.7
1665.989	2.044	86.2	4217.9	90.8	101.2
2131.993	3.737	403.9	3586.8	118.6	233.0
2133.884	3.515	344.7	12891.4	114.8	62.7
2147.199	63.357	104828.5	15548.9	2017.9	943.3
2163.189	2.399	194.4	10517.5	75.4	50.5
2169.175	6.378	1009.4	12988.9	199.8	108.5
2185.152	3.374	252.0	10102.5	104.5	74.2
2203.119	11.097	3282.4	14381.4	338.5	176.2
2206.124	2.973	114.3	8658.6	90.2	75.4
2211.099	34.202	21237.5	13667.5	1031.2	551.4
2225.109	13.394	12122.7	16132.6	406.8	194.4
2233.087	19.881	30281.3	16461.7	605.5	282.0
2248.074	5.073	337.1	9129.3	148.1	120.9
2255.049	2.208	44.9	11966.3	65.2	40.1
2260.057	2.991	141.3	10168.9	86.7	63.8
2268.023	7.254	718.6	15558.8	212.3	102.4
2283.169	11.175	4622.5	13448.2	323.7	185.4
2299.165	5.048	556.1	16368.2	144.2	67.0
2305.122	3.488	254.8	7404.0	97.6	100.5
2779.433	2.661	110.3	17081.0	49.2	30.0
2918.243	3.197	210.1	5598.0	52.5	104.0
2932.590	42.167	22782.5	15525.0	695.7	497.0
2948.586	7.656	963.9	12870.9	123.5	107.7
2954.572	4.979	676.3	19880.0	80.1	46.1
2988.518	3.975	169.5	13022.4	62.4	55.0
3323.773	2.748	169.7	9736.5	33.6	47.7
3337.776	3.819	109.2	11827.9	46.0	54.3


